Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,19.969999,20.219999,19.360001,19.440001,18.035389,61910300
2018-02-08,19.549999,19.740000,18.799999,19.049999,17.673569,51115100
2018-02-09,19.030001,19.389999,18.510000,18.770000,17.413801,68727600
2018-02-15,19.500000,19.540001,19.170000,19.400000,17.998280,31978000
2018-02-16,19.459999,19.580000,19.309999,19.420000,18.016830,34736300
2018-02-19,19.549999,20.100000,19.549999,20.049999,18.601313,40925500
2018-02-20,19.879999,20.820000,19.820000,20.440001,18.963135,67418700
2018-02-21,20.590000,20.879999,20.250000,20.250000,18.786865,55678400
2018-02-22,20.590000,20.820000,20.540001,20.740000,19.241457,38170900
2018-02-23,20.950001,21.139999,20.620001,21.120001,19.594004,55755600
2018-02-26,21.400000,21.690001,21.379999,21.520000,19.965099,48160500
2018-02-27,21.469999,21.850000,21.340000,21.500000,19.946548,42912500
2018-02-28,21.629999,21.770000,21.180000,21.459999,19.909433,66229400
2018-03-01,21.400000,21.459999,20.760000,21.030001,19.510506,66380900
2018-03-02,20.700001,21.510000,20.510000,21.510000,19.955824,52682900
2018-03-05,21.490000,22.170000,21.360001,22.120001,20.521749,54242600
2018-03-06,22.500000,22.629999,21.860001,21.900000,20.317642,57240800
2018-03-07,21.690001,21.969999,21.370001,21.670000,20.104263,50956600
2018-03-08,21.850000,21.879999,21.320000,21.700001,20.132095,36156800
2018-03-09,21.780001,22.389999,21.590000,22.389999,20.772242,45560000
2018-03-12,22.540001,22.590000,22.230000,22.330000,20.716574,32363900
2018-03-13,22.450001,22.540001,22.059999,22.110001,20.512472,34732800
2018-03-14,22.299999,22.440001,22.090000,22.379999,20.762962,31947600
2018-03-15,22.049999,22.180000,21.309999,21.309999,19.770275,81097800
2018-03-16,21.469999,21.740000,21.230000,21.430000,19.881605,57891900
2018-03-19,21.270000,21.360001,20.860001,20.930000,19.417732,42218400
2018-03-20,21.180000,21.410000,21.110001,21.160000,19.631113,30106800
2018-03-21,21.250000,22.090000,21.200001,22.049999,20.456806,53106300
2018-03-22,21.860001,22.040001,21.580000,21.719999,20.150652,50033300
2018-03-23,21.610001,22.110001,21.530001,21.750000,20.178482,52815800
2018-03-26,22.070000,22.200001,21.840000,22.030001,20.438251,30174900
2018-03-27,22.139999,22.180000,21.370001,21.440001,19.890882,43568100
2018-03-28,21.260000,21.410000,20.990000,21.200001,19.668224,38539300
2018-03-29,21.260000,21.559999,21.230000,21.410000,19.863052,34318800
2018-04-02,21.360001,21.459999,20.770000,20.900000,19.389900,37275000
2018-04-03,21.110001,21.190001,20.660000,20.709999,19.213625,39245800
2018-04-04,20.309999,20.600000,20.110001,20.379999,18.907473,58475700
2018-04-05,21.150000,21.330000,21.030001,21.150000,19.621836,88599000
2018-04-06,20.980000,21.280001,20.830000,21.280001,19.742445,47908900
2018-04-09,21.430000,21.440001,20.530001,20.530001,19.046633,44248900
2018-04-10,20.910000,21.510000,20.760000,21.400000,19.853775,58545100
2018-04-11,21.350000,21.900000,21.330000,21.799999,20.224869,62378300
2018-04-12,21.790001,21.940001,21.680000,21.680000,20.113541,36238700
2018-04-13,21.639999,21.740000,21.059999,21.200001,19.668224,43347800
2018-04-16,21.049999,21.240000,20.600000,20.620001,19.130129,48474200
2018-04-17,20.700001,21.080000,20.620001,21.030001,19.510506,36570400
2018-04-18,21.350000,21.870001,21.309999,21.799999,20.224869,65237400
2018-04-19,22.070000,22.400000,21.930000,22.200001,20.595968,62475200
2018-04-20,22.059999,22.459999,21.900000,22.360001,20.744410,61494800
2018-04-23,22.090000,22.480000,21.940001,22.480000,20.855738,37023300
2018-04-24,22.600000,22.770000,22.230000,22.400000,20.781517,46710300
2018-04-25,22.010000,22.129999,21.670000,21.730000,20.159929,68160600
2018-04-26,22.000000,22.629999,21.969999,22.629999,20.994898,56674700
2018-04-27,22.840000,22.930000,22.660000,22.709999,21.069118,37858300
2018-04-30,22.730000,23.020000,22.629999,22.969999,21.310335,23681500
2018-05-02,22.670000,22.930000,22.510000,22.600000,20.967070,31778100
2018-05-03,22.540001,22.639999,21.969999,22.450001,20.827908,48855700
2018-05-04,22.450001,22.639999,22.270000,22.270000,20.660912,33599400
2018-05-07,22.570000,23.170000,22.490000,22.650000,21.013454,47815100
2018-05-08,23.059999,23.150000,22.520000,22.910000,21.254669,81198700
2018-05-09,23.299999,24.799999,23.219999,24.780001,22.989555,118032300
2018-05-10,25.139999,26.490000,24.920000,25.750000,23.889469,126907200
2018-05-11,25.830000,26.309999,25.420000,25.440001,23.601866,72996400
2018-05-14,25.850000,26.480000,25.809999,26.240000,24.344065,66938700
2018-05-15,26.350000,26.900000,25.889999,26.790001,24.854326,75230200
2018-05-16,26.870001,27.530001,26.840000,27.389999,25.410973,64486500
2018-05-17,27.350000,27.600000,25.469999,25.950001,24.075022,112487000
2018-05-18,25.010000,26.170000,24.959999,25.650000,23.796696,83206900
2018-05-21,26.100000,26.290001,24.940001,25.049999,23.240046,75971900
2018-05-22,24.809999,25.290001,24.150000,24.709999,22.970457,88109900
2018-05-23,24.230000,24.480000,23.270000,23.270000,21.631838,74622500
2018-05-24,20.049999,20.750000,19.650000,20.080000,18.666405,240343800
2018-05-25,20.650000,21.270000,19.660000,19.799999,18.406116,131188100
2018-05-28,19.200001,19.200001,16.910000,16.910000,15.719567,134504900
2018-05-29,18.000000,19.440001,17.600000,19.299999,17.941315,181509800
2018-05-30,18.389999,19.969999,18.129999,18.980000,17.643841,125430000
2018-06-01,19.559999,19.750000,14.900000,16.160000,15.022365,216954700
2018-06-04,17.290001,17.639999,17.049999,17.530001,16.295919,93547600
2018-06-05,17.360001,17.799999,16.590000,16.590000,15.422094,67006400
2018-06-06,16.469999,16.680000,15.870000,16.330000,15.180399,69496800
2018-06-07,16.000000,16.160000,14.930000,15.760000,14.650525,118752700
2018-06-08,15.810000,16.190001,15.060000,15.250000,14.176429,91461500
2018-06-11,15.500000,15.800000,15.130000,15.410000,14.325164,44872500
2018-06-12,15.480000,15.680000,15.240000,15.460000,14.371644,69592600
2018-06-13,15.420000,15.500000,14.740000,15.170000,14.102059,72301200
2018-06-14,15.330000,15.550000,15.050000,15.100000,14.036988,57324600
2018-06-15,15.030000,15.070000,14.470000,14.970000,13.916141,75239300
2018-06-18,14.770000,14.890000,14.500000,14.500000,13.479229,47363800
2018-06-19,14.260000,15.720000,14.170000,15.420000,14.334459,97301500
2018-06-20,15.840000,16.480000,15.800000,16.209999,15.068844,88397300
2018-06-21,16.090000,16.320000,15.100000,15.100000,14.036988,67884300
2018-06-22,15.410000,15.680000,15.010000,15.110000,14.046283,52184500
2018-06-25,15.200000,15.790000,15.060000,15.700000,14.594749,60347200
2018-06-26,15.900000,16.120001,15.530000,16.040001,14.910814,59595900
2018-06-27,16.100000,16.980000,16.059999,16.549999,15.384910,78095000
2018-06-28,16.719999,17.070000,16.330000,16.600000,15.431391,94960700
2018-06-29,16.850000,17.190001,16.730000,17.190001,15.979858,75735100
2018-07-02,16.990000,17.480000,16.900000,17.469999,16.240145,54545600
2018-07-03,17.740000,17.889999,17.459999,17.500000,16.268034,57456700
2018-07-04,17.379999,18.450001,17.240000,17.610001,16.370289,54211000
2018-07-05,18.600000,18.799999,17.650000,17.860001,16.602690,76084700
2018-07-06,17.969999,18.090000,17.650000,17.940001,16.677057,33878700
2018-07-10,18.340000,18.350000,17.549999,17.750000,16.500435,70886200
2018-07-11,17.490000,18.080000,17.299999,17.410000,16.184368,85806300
2018-07-12,17.620001,18.020000,17.520000,17.950001,16.686356,49397900
2018-07-13,17.990000,18.180000,17.780001,18.110001,16.835087,44951900
2018-07-16,17.950001,17.980000,17.600000,17.879999,16.621281,62798900
2018-07-17,17.790001,18.400000,17.709999,18.290001,17.002419,40884300
2018-07-18,18.250000,18.400000,17.940001,18.049999,16.779312,40643800
2018-07-19,17.840000,18.400000,17.740000,18.400000,17.104675,60404900
2018-07-20,19.170000,19.480000,18.930000,19.290001,17.932020,98035200
2018-07-23,19.299999,19.469999,19.209999,19.260000,17.904131,35231500
2018-07-24,19.570000,19.870001,19.530001,19.660000,18.275972,39934600
2018-07-25,19.799999,20.000000,19.610001,19.959999,18.554853,48759900
2018-07-26,19.950001,19.950001,19.370001,19.410000,18.043571,48144300
2018-07-27,19.600000,19.809999,19.549999,19.770000,18.378225,36509400
2018-07-30,19.950001,20.100000,19.700001,19.889999,18.489779,37053900
2018-07-31,19.620001,19.790001,19.469999,19.719999,18.331745,38641200
2018-08-01,19.590000,20.010000,19.540001,20.010000,18.601336,39141700
2018-08-02,19.990000,20.780001,19.950001,20.410000,18.973173,69008900
2018-08-03,21.400000,21.549999,21.090000,21.110001,19.623896,86908000
2018-08-06,21.150000,21.469999,20.980000,21.040001,19.558823,44528300
2018-08-07,21.330000,21.459999,20.570000,20.709999,19.252052,69136700
2018-08-08,20.809999,21.070000,20.120001,20.139999,18.722179,58211500
2018-08-09,20.260000,20.350000,19.799999,20.340000,18.908100,51253100
2018-08-10,20.100000,20.150000,19.360001,19.590000,18.210897,61789800
2018-08-13,19.500000,20.040001,19.270000,20.040001,18.629219,58306700
2018-08-14,20.280001,20.309999,19.730000,19.980000,18.619902,55180600
2018-08-15,19.639999,19.670000,19.049999,19.049999,17.753210,65651700
2018-08-16,19.320000,19.350000,18.770000,18.950001,17.660019,51201600
2018-08-17,18.750000,18.860001,18.400000,18.459999,17.203371,68328400
2018-08-20,18.370001,18.510000,18.090000,18.360001,17.110180,56315600
2018-08-21,18.270000,18.530001,17.650000,17.719999,16.513744,68735300
2018-08-22,17.700001,18.379999,17.650000,18.350000,17.100863,56623700
2018-08-23,18.350000,18.520000,17.879999,17.950001,16.728090,56284100
2018-08-24,18.350000,18.440001,18.049999,18.299999,17.054264,37893000
2018-08-27,18.410000,18.760000,18.299999,18.709999,17.436352,35428000
2018-08-28,18.760000,18.850000,18.340000,18.350000,17.100863,38079200
